model,accelerator,total_cycles,total_energy,cycles_per_layer (weighted average),utilization_per_layer (weighted average),energy_per_layer (weighted average)
AlexNet,3060TensorCore,3521980.0,11649.48,879617.7581093588,59.705339541962196,2670.5212082578546
AlexNet,3090TensorCore,3521980.0,11649.48,879617.7581093588,59.705339541962196,2670.5212082578546
AlexNet,V100TensorCore,11705868.0,11708.380000000001,2800534.5175066045,71.85459677146538,2599.65155709598
AlexNet,A100TensorCore,3521980.0,11649.71,879617.7581093588,59.705339541962196,2670.5653634035402
AlexNet,14x12,9609096.0,9601.189999999999,3169632.238633895,66.69153964118998,2729.772151636325
AlexNet,8x21,8331276.0,14973.0,2191917.187452198,76.91922281292804,3455.659929696243
AlexNet,21x8,10288056.0,11988.259999999998,2344057.0431545083,62.287812158098674,3104.9950501435846
Resnet18,3060TensorCore,5828800.0,26273.9,370054.16388690646,60.78562959099643,1420.9883806752678
Resnet18,3090TensorCore,5828800.0,26273.9,370054.16388690646,60.78562959099643,1420.9883806752678
Resnet18,V100TensorCore,18955520.0,23793.640000000003,1166855.920804916,74.76398325342696,1380.9879632655816
Resnet18,A100TensorCore,5828800.0,26275.059999999998,370054.16388690646,60.78562959099643,1421.0485538292614
Resnet18,14x12,14764416.0,21814.730000000003,950767.1825708515,73.13658708072165,1263.61960215697
Resnet18,8x21,18949120.0,23793.600000000006,1167230.5681707645,56.98555309375843,1381.4286155093216
Resnet18,21x8,22589891.0,20642.010000000002,1504698.3904481432,47.79991390883647,1202.000792427905
ConvNeXt,3060TensorCore,249733816.0,1496811.94,7612670.497374772,71.14084798239742,38100.51792867795
ConvNeXt,3090TensorCore,249733816.0,1496812.8099999998,7612670.497374772,71.14084798239742,38100.52400445282
ConvNeXt,V100TensorCore,812317149.0,825326.7400000001,22397013.114552066,87.48442459825505,22743.186637291565
ConvNeXt,A100TensorCore,249733816.0,1496820.5699999996,7612670.497374772,71.14084798239742,38100.56947757432
ConvNeXt,14x12,880632078.0,1132939.08,25826490.68274014,61.48635238901666,30814.278289510214
ConvNeXt,8x21,812304349.0,825321.4299999999,22397364.223355334,66.65917162102993,22743.54279053279
ConvNeXt,21x8,880887054.0,1132939.45,25819141.261131346,61.46855363604877,30805.417226427104
ViT,3060TensorCore,528864768.0,149842.56,10775069.635033386,6.225023223781851,3083.732350030169
ViT,3090TensorCore,528864768.0,149842.56999999998,10775069.635033386,6.225023223781851,3083.73235490945
ViT,V100TensorCore,1052541888.0,156058.7,21649691.08924991,12.511301526234364,3211.2705768339742
ViT,A100TensorCore,528864768.0,149849.05,10775069.635033386,6.225023223781851,3083.795866213119
ViT,14x12,1401255568.0,154887.86,28908173.56071888,7.157382624380763,3118.661877599533
ViT,8x21,1052532288.0,156057.32,21649887.765016355,9.528755689364658,3211.298545647808
ViT,21x8,2098459536.0,147804.99999999997,43430822.06400056,4.779373670381794,3029.257522818739
